Município;População;Frota Total;Frota Ativa;Acidentes;Veículos Envolvidos;Feridos e Ilesos;Óbitos
Casserengue;7533;1290;820;5;5;0;5
Cássia;17120;12046;7510;846;1300;1484;22
Cássia dos Coqueiros;2664;1821;1001;27;23;20;4
Cassilândia;21365;18342;12677;670;830;875;18
Castanhal;208135;96710;75539;3351;6042;3567;179
Castanheira;8963;5985;4348;4;6;2;3
Castanheiras;2571;1659;1218;82;103;140;11
Castelândia;3252;1838;1293;107;144;124;3
Castelo;3252;1838;1293;107;144;124;3
Castelo do Piauí;19899;5282;3542;362;357;322;31
Castilho;22117;11903;7720;470;381;423;20
Castro;72376;53283;34400;3183;5155;6674;53
Castro Alves;26385;6131;3722;15;22;19;5
Cataguases;76337;40903;28482;2240;3297;3807;37
Catalão;118686;96659;70792;10834;15848;15723;88
Catanduva;124328;116260;73592;3592;3580;4003;104
Catanduvas;124328;116260;73592;3592;3580;4003;104
Catarina;20871;4033;2908;7;8;2;7
Catas Altas;5537;3186;2096;326;464;529;9
Catas Altas da Noruega;3659;1584;992;107;128;196;6
Catende;44117;9239;6477;182;204;182;25
Catiguá;7291;4568;2918;196;225;182;16
Catingueira;4580;1007;824;19;19;1;20
Catolândia;3577;602;433;18;37;33;3
Catolé do Rocha;30879;17089;12340;61;87;74;25
Catu;54384;19296;14552;253;407;493;36
Catuípe;8415;7688;4500;11;15;9;12
Catuji;5982;2192;1536;173;209;248;4
Catunda;10391;2739;1987;24;39;39;14
Caturaí;5174;2998;1982;222;286;319;4
Caturama;9027;2324;1497;32;56;49;8
Caturité;4921;1732;1185;5;6;2;4
Catuti;4675;5313;1411;74;76;125;3
Caucaia;361339;122337;97087;1870;3309;3579;112
Cavalcante;9576;2455;1712;382;455;486;2
Caxambu;20837;12731;8318;893;1344;1575;11
Caxambu do Sul;4131;3486;2518;172;230;232;1
Caxias;167180;62045;44388;719;735;503;206
Caxias do Sul;536121;351374;233852;201;331;276;211
Caxingó;5536;1103;883;46;51;44;5
Ceará-Mirim;74277;23245;16631;152;267;233;49
Cedral;20535;9618;6570;299;324;279;24
Cedro;38092;12786;8950;111;137;120;28
Cedro de São João;5886;1489;1031;1;1;1;0
Cedro do Abaeté;1117;507;338;38;38;53;3
Celso Ramos;2695;2328;1625;82;105;119;1
Centenário;5784;2765;1703;3;4;4;0
Centenário do Sul;10403;7520;4427;148;211;299;6
Central;17043;3939;2325;12;17;13;4
Central de Minas;7022;4198;3209;185;222;305;3
Central do Maranhão;8837;775;517;14;14;9;5
Centralina;10162;4057;2766;261;401;401;4
Centro do Guilherme;13876;1326;998;3;3;1;2
Centro Novo do Maranhão;22123;2290;1614;16;18;14;4
Cerejeiras;15025;14027;10192;643;1026;1168;29
Ceres;22521;22261;14914;1677;2240;2270;12
Cerqueira César;20850;14461;8956;224;200;225;18
Cerquilho;52647;35194;23302;790;629;690;30
Cerrito;5900;4146;2126;5;8;6;6
Cerro Azul;17863;9958;6099;177;226;296;3
Cerro Branco;4721;2881;1697;6;9;5;6
Cerro Corá;11174;3878;2712;31;45;43;12
Cerro Grande;2232;1823;1124;5;8;5;6
Cerro Grande do Sul;12850;8899;5231;8;14;6;8
Cerro Largo;14280;11960;7638;14;18;9;14
Cerro Negro;2955;2125;1293;66;76;88;1
Cesário Lange;19114;14492;9816;337;299;325;27
Céu Azul;11916;9566;6296;253;379;499;4
Cezarina;9004;5444;3626;362;473;442;16
Chã de Alegria;13697;2678;1953;96;103;94;9
Chã Grande;22030;7832;5955;245;274;267;11
Chã Preta;7315;1374;1014;4;5;1;4
Chácara;3273;1371;846;152;167;270;6
Chalé;5619;4262;3243;150;178;250;2
Chapada;9211;9127;5663;8;9;7;8
Chapada da Natividade;3141;1010;725;107;170;211;12
Chapada de Areia;1416;332;229;11;22;23;2
Chapada do Norte;11275;2536;1814;122;134;182;4
Chapada dos Guimarães;1479;338;234;12;23;23;3
Chapada Gaúcha;14862;4688;3554;212;258;344;6
Chapadão do Céu;11687;9359;7669;744;1112;920;7
Chapadão do Lageado;3040;2592;1858;112;140;175;0
Chapadão do Sul;27785;25566;19936;1340;1938;1690;22
Chapadinha;81096;25801;16874;291;306;239;60
Chapecó;6564;4750;3431;276;350;438;4
Charqueada;17932;11332;6910;206;178;155;16
Charqueadas;42561;21217;13222;11;17;9;13
Charrua;3149;1667;932;1;2;3;3
Chaval;13195;2882;1790;17;28;28;8
Chavantes;12376;6657;4004;180;118;104;9
Chaves;12376;6657;4004;180;118;104;9
Chiador;2583;2267;1115;51;54;90;0
Chiapetta;3603;3216;1800;3;12;11;3
Chopinzinho;18618;16659;11055;504;810;1058;24
Choró;13704;3343;2491;14;16;13;6
Chorozinho;13704;3343;2491;14;16;13;6
Chorrochó;10991;1532;957;45;71;76;16
Chuí;0;0;0;0;0;0;0
Chupinguaia;12341;4577;3783;325;419;531;18
Chuvisca;5569;3873;2295;11;18;11;12
Cianorte;83504;71342;50091;4563;7431;9190;81
Cícero Dantas;1479;338;234;12;23;23;3
Cidade Gaúcha;12087;8412;5425;386;606;763;8
Cidade Ocidental;92399;14831;10245;3192;4736;3978;39
Cidelândia;14934;3900;3183;48;51;36;15
Cidreira;17054;7191;4386;14;18;13;14
Cipó;3710;2149;1378;2;4;4;3
Cipotânea;6768;3856;2833;110;125;196;4
Ciríaco;4602;4188;2067;8;16;16;12
Claraval;16548;10748;7613;338;453;403;6
Claro dos Poções;7287;2381;1637;153;179;285;8
Cláudia;12662;9615;6770;15;19;13;8
Cláudio;29155;23708;16372;1584;1538;2077;45
Clementina;9224;5904;3859;139;126;102;14
Clevelândia;15841;12514;6849;458;736;943;33
Coaraci;14573;4633;3034;94;100;100;8
Coari;87566;13203;6030;13;10;8;3
Cocal;28217;8577;6472;357;363;347;35
Cocal de Telha;4961;1546;1309;39;45;41;1
Cocal do Sul;17068;15248;11414;1497;2036;2368;6
Cocal dos Alves;6251;1373;1093;43;43;44;10
Cocalinho;5770;1642;1308;7;9;6;4
Cocalzinho de Goiás;21377;6586;4124;712;935;838;47
Cocos;18819;5692;3983;44;57;55;5
Codajás;30609;912;460;2;0;0;2
Codó;124240;39478;24791;304;312;220;78
Coelho Neto;50113;12402;6709;67;67;55;9
Coimbra;7659;4447;2878;292;378;490;15
Coité do Nóia;10614;3745;2976;32;48;32;21
Coivaras;4073;1041;863;36;39;32;3
Colares;12286;1001;681;96;153;103;4
Colatina;121007;78934;62572;10342;10842;13849;152
Colíder;32791;28979;21115;40;43;38;11
Colina;18710;14078;8687;318;300;338;22
Colinas;44162;13211;8842;88;92;66;21
Colinas do Sul;3233;1003;677;146;171;172;8
Colinas do Tocantins;36965;24502;19062;590;1065;1118;19
Colméia;7904;5507;3713;147;258;251;17
Colniza;43597;17336;14092;26;29;20;17
Colômbia;6218;4340;2546;93;96;81;6
Colombo;255337;161527;110411;7863;12366;16917;38
Colônia do Gurguéia;6638;1429;1242;52;53;68;5
Colônia do Piauí;7738;1885;1529;60;63;52;8
Colônia Leopoldina;21843;2419;1866;20;28;7;22
Colorado;21843;2419;1866;20;28;7;22
Colorado do Oeste;13390;13985;10287;608;908;1064;27
Coluna;8620;4456;3182;193;234;317;7
Combinado;4863;2158;1675;74;115;133;3
Comendador Gomes;3118;1359;891;101;135;144;2
Comendador Levy Gasparian;8737;4830;3836;23;30;28;2
Comercinho;6096;2183;1699;120;118;195;2
Comodoro;21801;13097;9483;43;82;55;32
Conceição;19083;6127;4502;20;20;1;22
Conceição da Aparecida;10326;7302;4530;213;267;392;7
Conceição da Barra;31341;10715;8314;773;598;896;19
Conceição da Barra de Minas;3875;2313;1480;41;49;62;0
Conceição da Feira;22813;6148;4576;129;199;240;17
Conceição das Alagoas;29792;14727;9642;1128;1526;2041;19
Conceição das Pedras;2786;1773;1125;53;72;83;0
Conceição de Ipanema;92399;14831;10245;3192;4736;3978;39
Conceição de Macabu;22393;10757;6934;121;145;132;16
Conceição do Almeida;16431;4192;3093;154;237;364;19
Conceição do Araguaia;48603;21449;14579;1186;1891;1340;66
Conceição do Canindé;4942;954;741;42;49;41;2
Conceição do Castelo;12821;9724;6417;559;477;708;20
Conceição do Coité;66704;29617;20030;664;745;766;27
Conceição do Jacuípe;33393;14743;11492;267;404;444;33
Conceição do Lago-Açu;16604;1572;1130;4;4;3;1
Conceição do Mato Dentro;17104;9854;7505;1643;2123;2754;28
Conceição do Pará;5574;3312;2173;430;532;652;8
Conceição do Rio Verde;13714;6043;3585;332;498;586;18
Conceição do Tocantins;4012;912;681;55;87;89;8
Conceição dos Ouros;12043;5925;3878;280;389;481;8
Conchal;28968;21683;13234;406;227;233;26
Conchas;18391;12079;6942;195;187;204;13
Concórdia;76100;77544;59570;10354;14760;17638;35
Concórdia do Pará;34700;7074;4636;218;329;229;27
Condado;31882;10575;7805;250;289;250;41
Conde;51674;13740;11019;240;353;374;50
Condeúba;17113;4174;2243;8;10;7;3
Condor;6740;5832;3324;8;20;16;8
Cônego Marinho;7406;1726;1250;71;71;111;6
Confins;6996;5926;4250;1043;1424;1588;7
Confresa;33319;20526;16771;218;250;285;45
Congo;4786;1266;980;12;12;1;11
Congonhal;12462;7437;5106;247;354;413;6
Congonhas;56828;33514;23025;4141;6024;6295;33
Congonhas do Norte;4832;1843;1374;112;110;174;4
Congonhinhas;8480;5161;2820;174;281;337;22
Conquista;6779;3793;2209;310;384;562;6
Conquista D'Oeste;4310;2451;1921;10;11;11;6
Conselheiro Lafaiete;133239;85789;60388;9178;14395;14797;46
Conselheiro Mairinck;3571;2151;1286;33;50;58;1
Conselheiro Pena;21126;10559;7766;881;1160;1591;22
Consolação;1595;712;494;39;46;59;1
Constantina;9865;8644;5101;9;9;6;9
Contagem;640655;359887;247132;112134;186701;177486;244
Contenda;19638;13582;8449;183;269;351;3
Contendas do Sincorá;3870;1050;700;15;19;19;1
Coqueiral;8910;5324;3341;233;298;427;8
Coqueiro Baixo;1501;838;539;1;3;0;1
Coqueiro Seco;5859;1337;1070;8;16;8;5
Coqueiros do Sul;0;0;0;0;0;0;0
Coração de Jesus;26357;9063;6165;384;476;725;17
Coração de Maria;21527;7383;5259;72;111;109;8
Corbélia;17125;14874;9788;316;490;688;7
Cordeiro;22650;11921;7099;116;136;129;11
Cordeirópolis;25797;20487;13830;797;557;475;38
Cordeiros;8669;1912;1193;32;52;51;3
Cordilheira Alta;4645;4599;3665;365;493;568;11
Cordisburgo;8825;3631;2191;345;445;667;7
Cordislândia;3519;1566;945;69;84;119;2
Coreaú;23364;6795;5162;12;16;15;8
Coremas;15452;6084;4712;12;12;2;12
Corguinho;6364;2081;1320;47;56;64;5
Coribe;13622;3814;2555;13;22;17;7
Corinto;23164;13177;8162;1313;1820;2399;80
Cornélio Procópio;47338;38471;25196;2426;4123;4604;20
Coroaci;9649;3646;2782;177;209;297;6
Coroados;6357;3604;2258;160;147;157;7
Coroatá;66196;12483;6970;123;129;89;34
Coromandel;27631;21438;14026;1812;2644;3340;32
Coronel Barros;2520;2125;1271;3;6;7;4
Coronel Bicaco;7020;5343;3100;11;15;16;12
Coronel Domingos Soares;7522;3080;1706;93;128;194;0
Coronel Ezequiel;5504;1307;871;6;9;13;5
Coronel Fabriciano;110777;55542;39643;6074;9506;10778;27
Coronel Freitas;9839;8321;5891;824;1150;1302;14
Coronel João Pessoa;4917;1203;941;5;6;3;2
Coronel João Sá;15247;2322;1351;18;27;30;6
Coronel José Dias;4735;1189;789;39;41;39;4
Coronel Macedo;4458;2284;1490;55;57;48;10
Coronel Martins;2561;1749;1045;59;71;82;2
Coronel Murta;9090;2890;2315;244;266;444;8
Coronel Pacheco;3075;884;567;369;482;699;14
Coronel Pilar;1593;1173;828;1;1;0;1
Coronel Sapucaia;15653;4445;2401;121;148;160;7
Coronel Vivida;19746;18470;11854;658;1068;1305;16
Coronel Xavier Chaves;3431;1608;1096;136;169;255;9
Córrego Danta;3062;1668;956;305;397;444;18
Córrego do Bom Jesus;3617;2439;1614;129;166;205;0
Córrego do Ouro;2112;1387;991;50;58;59;0
Córrego Fundo;6486;4426;2977;282;409;562;16
Córrego Novo;2534;1211;937;89;112;176;1
Correia Pinto;12066;12263;7399;502;673;787;15
Corrente;27087;12469;9983;468;508;494;18
Correntes;18383;3247;2294;80;88;72;17
Correntina;31552;11880;8992;262;376;562;64
Cortês;12546;2401;1667;50;63;56;7
Corumbá;114090;49269;31536;1648;2586;2362;16
Corumbá de Goiás;11284;5277;3417;609;734;890;17
Corumbaíba;10364;5461;3767;572;833;880;9
Corumbataí;4079;3201;1893;169;203;153;18
Corumbataí do Sul;2730;2636;1517;59;72;106;2
Corumbiara;6153;5117;4113;290;371;442;16
Corupá;16471;12948;9009;716;902;1128;11
Coruripe;57598;16955;13403;130;193;132;92
Cosmópolis;77545;44684;27871;668;469;490;43
Cosmorama;7241;6634;4236;189;176;183;16
Costa Marques;20189;5582;3931;296;412;501;23
Costa Rica;22111;18308;13577;663;1017;833;8
Cotegipe;6559;5392;3480;8;14;41;8
Cotia;268300;173975;121455;5879;4926;5627;189
Cotiporã;3811;3289;1948;2;3;3;3
Cotriguaçu;21241;6429;4778;9;9;1;8
Couto de Magalhães de Minas;4426;1883;1228;208;262;430;4
Couto Magalhães;5766;1572;1241;64;100;112;4
Coxilha;2706;2552;1661;9;20;10;10
Coxim;33633;24810;18324;987;1577;1541;9
Coxixola;1932;472;355;1;1;0;1
Craíbas;24293;7989;6275;64;103;69;39
Crateús;75699;37888;27225;1061;1917;2115;62
Crato;135519;62366;48478;539;913;1004;92
Cravinhos;36473;26650;16978;528;611;560;27
Cravolândia;5358;758;476;7;9;7;2
Criciúma;221180;173779;127959;22739;31902;36903;65
Crisólita;6903;1117;897;160;176;222;6
Crisópolis;21226;4308;2380;61;109;88;19
Crissiumal;13201;11777;7123;8;13;4;9
Cristais;13307;8115;4806;247;355;426;4
Cristais Paulista;8997;5274;3489;157;138;169;16
Cristal;8072;5302;2991;10;23;34;16
Cristal do Sul;2840;2009;1294;4;4;3;4
Cristalândia;7208;3198;2185;93;161;167;9
Cristalândia do Piauí;8457;1311;1055;55;54;66;3
Cristália;5958;2182;1583;98;97;197;2
Cristalina;64550;37012;22291;3489;4771;4347;90
Cristiano Otoni;5120;3483;2216;181;244;282;2
Cristianópolis;2922;2393;1448;355;525;547;7
Cristina;10054;4646;3092;273;350;463;11
Cristinápolis;0;0;0;0;0;0;0
Cristino Castro;10579;3204;2643;66;68;68;2
Cristópolis;13715;3387;2452;133;275;319;23
Crixás;17246;10659;7537;573;753;807;8
Crixás do Tocantins;1761;594;442;9;16;17;1
Croatá;18315;6331;4685;26;32;18;20
Cromínia;3374;2575;1666;238;302;320;12
Crucilândia;5074;3754;2644;207;233;298;5
Cruz;32994;9155;6044;26;41;33;23
Cruz Alta;58215;44146;27204;46;93;62;53
Cruz das Almas;63192;35764;25671;279;453;499;31
Cruz do Espírito Santo;17220;5307;4148;44;52;31;32
Cruz Machado;16469;13339;7360;122;166;228;11
Cruzália;2014;1648;1009;16;12;7;2
Cruzaltense;2014;1648;1009;16;12;7;2
Cruzeiro;77165;47613;32175;2074;1885;1615;54
Cruzeiro da Fortaleza;3228;2358;1751;164;201;338;10
Cruzeiro do Iguaçu;4149;3071;1943;916;1601;1864;26
Cruzeiro do Oeste;20782;16960;10721;63;98;120;4
Cruzeiro do Sul;110649;56061;42338;2298;3938;4400;71
Cruzeta;7949;2934;2234;48;75;80;6
Cruzília;15527;10298;6137;421;572;662;6
Cruzmaltina;2772;1864;1135;142;213;273;12
Cubatão;134436;63388;40424;2899;3019;3034;169
Cubati;8207;1507;1036;10;10;0;10
Cuiabá;641496;484862;367511;8793;8951;9874;654
Cuité;20322;4647;3047;15;17;3;14
Cuité de Mamanguape;6354;1574;1102;2;3;2;1
Cuitegi;6735;1949;1474;28;42;32;7
Cujubim;29572;8454;6441;487;655;765;31
Cumari;2733;1796;1183;118;145;152;8
Cumaru;9050;4415;2942;117;127;107;21
Cumaru do Norte;14237;1518;994;102;139;105;12
Cumbe;3998;1255;913;1;1;0;1
Cunha;6657;774;414;7;7;6;0
Cunha Porã;11167;10133;7231;612;885;999;12
Cunhataí;1978;1680;1336;94;128;119;1
Cuparaque;4208;2133;1609;102;127;180;2
Cupira;24308;10565;6932;238;260;240;23
Curaçá;34297;4929;3344;59;75;66;24
Curimatá;11450;3196;2170;112;120;107;6
Curionópolis;17937;7772;5403;530;837;527;38
Curitiba;1991070;1707697;1105577;155100;243328;348696;374
Curitibanos;40130;33356;22086;3101;4417;5501;36
Curiúva;15423;9517;5875;286;451;549;19
Currais;5043;978;814;32;38;37;2
Currais Novos;11450;3196;2170;112;120;107;6
Curral de Cima;5229;1529;1051;11;10;5;7
Curral de Dentro;7632;2852;2053;174;213;273;8
Curral Novo do Piauí;5221;822;674;31;37;31;6
Curral Velho;2328;572;444;4;4;0;4
Curralinho;35847;563;190;29;41;35;2
Curralinhos;35847;563;190;29;41;35;2
Curuá;14919;828;376;48;73;59;8
Curuçá;41541;4699;3601;279;460;297;44
Cururupu;33340;3801;2531;57;59;42;14
Curvelândia;5379;3455;2616;4;3;3;1
Curvelo;81628;54167;38605;6511;9670;11776;110
Custódia;37847;14428;10417;239;276;229;50
Cutias;0;0;0;0;0;0;0
Damianópolis;3251;1368;1034;42;56;52;3
Damião;5412;795;529;7;9;4;5
Damolândia;2957;2048;1376;114;132;144;3
Darcinópolis;6369;1832;1426;29;48;57;8
Dário Meira;9593;1601;1162;11;11;11;1
Datas;5403;2251;1425;197;220;382;6
David Canabarro;4734;4138;2428;3;7;5;3
Davinópolis;16162;5120;4147;147;175;169;22
Delfim Moreira;7866;3354;2350;328;424;536;8
Delfinópolis;8135;4056;2515;475;621;810;13
Delmiro Gouveia;51598;27249;19190;64;90;30;68
Delta;11176;7608;4507;381;554;644;5
Demerval Lobão;14013;5085;4383;229;260;262;12
Denise;9824;4538;3371;20;30;11;16
Deodápolis;13180;9296;6293;277;363;349;13
Deputado Irapuan Pinheiro;9752;3246;2186;7;8;9;2
Derrubadas;2736;1965;1250;4;5;1;4
Descalvado;34475;28320;17294;499;488;428;31
Descanso;8071;7876;5666;554;782;962;7
Descoberto;5036;2441;1535;100;130;164;5
Desterro;8341;2697;1989;18;23;10;13
Desterro de Entre Rios;7220;5415;3660;274;351;475;10
Desterro do Melo;2784;2557;1718;75;100;157;3
Dezesseis de Novembro;2263;1888;1194;3;4;2;3
Diadema;435472;240936;150456;5788;5349;6184;212
Diamante;6552;1543;1223;2;2;0;2
Diamante D'Oeste;5265;2780;1461;20;24;34;1
Diamante do Norte;4747;4182;2543;116;155;201;4
Diamante do Sul;3327;1811;1114;140;257;271;13
Diamantina;47702;26679;18623;2389;3228;4575;46
Diamantino;22868;18385;13645;49;57;34;49
Dianópolis;19249;9707;7167;727;1281;1320;43
Dias d'Ávila;76475;26273;19082;207;383;356;15
Dilermando de Aguiar;3014;1353;772;1;1;0;1
Diogo de Vasconcelos;3534;1658;1103;120;131;175;5
Dionísio;7061;2825;1943;184;225;307;1
Dionísio Cerqueira;15618;11585;8622;635;853;1057;11
Diorama;2435;1188;791;78;103;91;3
Dirce Reis;1812;1087;721;9;5;4;3
Dirceu Arcoverde;7129;1697;1148;60;57;55;3
Divina Pastora;5400;883;642;7;9;5;3
Divinésia;3412;1811;1291;140;168;249;5
Divino;19935;13001;8703;479;661;904;14
Divino das Laranjeiras;4900;1669;1254;176;212;332;12
Divino de São Lourenço;4024;3029;2244;85;68;107;1
Divinolândia;10835;9940;5715;233;111;108;13
Divinolândia de Minas;7696;4058;3028;217;270;354;5
Divinópolis;246238;160357;111515;22649;35519;42026;112
Divinópolis de Goiás;4565;1110;810;119;140;124;4
Divinópolis do Tocantins;7039;3543;2661;165;287;294;16
Divisa Alegre;7108;1660;1187;153;214;223;1
Divisa Nova;6016;3450;1873;135;174;236;2
Divisópolis;11834;1683;1186;174;209;290;6
Dobrada;9264;4937;3226;162;141;107;11
Dois Córregos;28117;19913;11596;421;342;324;26
Dois Irmãos;33608;21314;16044;22;36;27;25
Dois Irmãos das Missões;0;0;0;0;0;0;0
Dois Irmãos do Buriti;11777;4806;3252;68;99;107;3
Dois Irmãos do Tocantins;7109;2296;1673;75;113;132;6
Dois Lajeados;3410;2694;1663;5;6;2;5
Dois Riachos;10972;3642;2684;12;17;6;13
Dois Vizinhos;42214;38349;27140;2475;4050;4900;38
Dolcinópolis;2093;1917;1104;31;24;39;1
Dom Aquino;8193;4942;3624;14;15;9;13
Dom Basílio;12054;5520;3514;34;47;38;9
Dom Bosco;3532;1655;1208;122;123;210;5
Dom Cavati;4900;3430;2098;93;130;147;6
Dom Eliseu;61869;15342;11838;545;888;566;40
Dom Expedito Lopes;7021;2554;2115;72;79;68;12
Dom Feliciano;15625;9886;5283;9;12;8;10
Dom Inocêncio;9672;1505;1020;107;140;133;2
Dom Joaquim;4288;1662;1180;158;193;251;3
Dom Macedo Costa;4050;1182;875;19;23;20;3
Dom Pedrito;38001;27757;16476;10;21;14;10
Dom Pedro;23572;10042;6934;66;71;54;16
Dom Pedro de Alcântara;2547;1561;1060;2;2;2;2
Dom Silvério;5154;2833;1965;187;224;286;4
Dom Viçoso;2945;1594;1154;51;57;87;1
Domingos Martins;33685;30173;21569;1523;1232;1930;44
Domingos Mourão;4376;580;467;8;5;6;3
Dona Emma;4255;3471;2356;201;259;309;1
Dona Eusébia;6724;4047;2798;174;228;280;5
Dona Francisca;0;0;0;0;0;0;0
Dona Inês;10397;2327;1601;12;12;1;13
Dores de Campos;10383;6675;4168;258;342;443;5
Dores de Guanhães;5038;2160;1709;155;193;248;5
Dores do Indaiá;13063;8757;4990;519;743;993;12
Dores do Rio Preto;6690;6305;5079;198;173;265;4
Dores do Turvo;4071;3774;2548;97;114;161;5
Doresópolis;1540;734;467;50;59;86;0
Dormentes;19378;6122;4403;80;88;59;29
Douradina;15391;11800;7909;257;374;456;11
Dourado;6993;5012;2725;241;325;419;7
Douradoquara;1904;1018;662;54;78;99;1
Dourados;6993;5012;2725;241;325;419;7
Doutor Camargo;5936;4902;3005;265;433;523;10
Doutor Maurício Cardoso;19249;9707;7167;727;1281;1320;43
Doutor Pedrinho;3833;3304;2206;200;254;265;5
Doutor Ricardo;1985;1534;889;2;4;2;2
Doutor Severiano;7073;2025;1699;18;26;18;8
Doutor Ulysses;5532;2079;1262;44;60;92;7
Doverlândia;6704;5640;3889;227;295;304;7
Dracena;1985;1534;889;2;4;2;2
Duartina;12282;8839;5474;238;218;222;10
Duas Barras;11786;5266;3248;43;50;40;12
Duas Estradas;3559;937;621;8;10;6;3
Dueré;4661;1545;1088;77;121;128;5
Dumont;10539;6256;4035;118;106;98;6
Duque Bacelar;11505;1170;675;5;5;4;1
Duque de Caxias;950667;333090;214987;4892;5522;5133;558
Durandé;7895;4499;3202;155;197;287;8
Echaporã;5908;3869;2337;92;90;94;10
Ecoporanga;21900;11331;8849;926;831;1135;40
Edealina;3603;2555;1647;139;185;197;2
Edéia;12719;8529;6062;524;735;746;12
Eirunepé;36020;2150;1017;1;1;1;0
Eldorado;28229;14175;9486;184;181;195;13
Eldorado do Carajás;34383;11268;8321;712;1089;647;69
Eldorado do Sul;43584;22972;14758;53;117;93;67
Elesbão Veloso;14659;5166;3961;228;230;222;13
Elias Fausto;18454;10702;7276;193;144;117;14
Eliseu Martins;5003;1094;889;21;22;33;3
Elisiário;3843;1940;1245;65;67;59;8
Elísio Medrado;7937;2168;1544;24;28;29;5
Elói Mendes;28960;15582;10271;1199;1684;2177;21
Emas;3559;621;467;7;7;1;6
Embaúba;2429;1456;760;34;26;35;3
Embu das Artes;285529;136624;92065;3838;3289;3447;136
Embu-Guaçu;71486;45113;25634;917;636;659;48
Emilianópolis;3252;1962;1242;21;18;27;0
Encantado;23263;19690;13350;14;22;14;18
Encanto;5692;2049;1717;19;31;29;5
Encruzilhada;14038;4047;2894;128;261;257;25
Encruzilhada do Sul;26051;16837;8903;27;52;29;30
Enéas Marques;5759;4764;3239;201;291;371;7
Engenheiro Beltrão;13758;10083;5642;505;729;948;24
Engenheiro Caldas;11344;4460;3186;233;303;433;7
Engenheiro Coelho;22861;12650;8475;249;210;196;15
Engenheiro Navarro;7158;2500;1693;234;319;447;14
Engenheiro Paulo de Frontin;14449;6156;3293;61;70;67;3
Engenho Velho;0;0;0;0;0;0;0
Entre Folhas;5345;3134;2214;133;159;258;10
Entre Rios;7220;5415;3660;274;351;475;10
Entre Rios de Minas;15527;10895;7309;621;868;1009;15
Entre Rios do Oeste;4776;3900;2721;119;194;242;4
Entre Rios do Sul;0;0;0;0;0;0;0
Entre-Ijuís;8177;8298;4646;14;27;19;19
Envira;0;0;0;0;0;0;0
Epitaciolândia;19680;8037;6367;313;533;601;4
Equador;6055;1949;1383;11;17;13;6
Erebango;2948;2154;1136;5;7;4;5
Erechim;108393;88742;61671;58;98;78;68
Ereré;7279;1149;962;15;23;18;9
Érico Cardoso;10589;2573;1673;2;3;0;3
Ermo;2054;3441;2768;128;167;196;5
Ernestina;3172;3041;1599;6;13;12;10
Erval Grande;4701;3288;2079;10;17;13;11
Erval Seco;6941;4827;2420;1;1;0;1
Erval Velho;4400;3881;2743;264;356;384;5
Ervália;18998;14190;9907;659;849;1169;20
Escada;70053;20281;15089;408;433;379;58
Esmeralda;3286;2297;1199;7;9;7;7
Esmeraldas;74107;26557;18852;3400;4794;5412;42
Espera Feliz;25512;15210;10424;719;902;1337;21
Esperança;58848;38169;25816;2205;2811;3642;51
Esperança do Sul;15305;8819;4812;221;213;203;22
Esperança Nova;1564;1463;909;23;33;45;3
Esperantina;51954;17288;11387;587;633;612;60
Esperantinópolis;17177;6249;3827;27;27;22;4
Espigão Alto do Iguaçu;3726;2007;1209;47;67;91;6
Espigão D'Oeste;32873;22597;16942;1301;1881;2197;56
Espinosa;31239;19084;12460;488;598;893;23
Espírito Santo;17530;5229;4067;37;41;27;27
Espírito Santo do Dourado;4730;3672;2627;169;233;301;8
Espírito Santo do Pinhal;44816;32944;20557;935;758;812;34
Espírito Santo do Turvo;5035;2734;1543;71;70;56;10
Esplanada;37812;8453;6327;168;295;302;48
Espumoso;15514;14537;8831;16;21;16;19
Estação;5931;5130;3135;4;8;8;5
Estância;70161;30894;23518;16;23;20;3
Estância Velha;52524;36300;24655;10;13;8;10
Esteio;83040;49647;31237;21;31;22;21
Estiva;19143;10027;6478;27;34;40;4
Estiva Gerbi;11732;8708;5486;127;95;86;2
Estreito;43150;14541;12622;129;131;94;32
Estrela;35119;29379;19269;32;57;33;36
Estrela d'Oeste;8391;7559;5101;188;186;223;12
Estrela Dalva;2230;940;596;67;96;102;8
Estrela de Alagoas;18222;4238;3023;8;16;4;8
Estrela do Indaiá;3426;1675;950;59;78;99;1
Estrela do Norte;5956;3450;2361;183;223;183;17
Estrela do Sul;8087;3121;2027;313;415;591;5
Estrela Velha;3612;2634;1558;4;7;6;8
Euclides da Cunha;60529;18520;13492;395;800;747;80
Euclides da Cunha Paulista;9130;5164;3030;101;88;99;8
Eugênio de Castro;2244;2282;1196;4;4;0;4
Eugenópolis;11421;5627;3823;264;317;475;3
Eunápolis;115036;58819;46240;756;1335;1598;69
Eusébio;56184;35693;30877;1295;2706;2839;21
Ewbank da Câmara;3916;1173;751;80;102;134;1
Extrema;39363;28861;22641;3454;5340;5306;29
Extremoz;29375;13421;10950;368;733;665;43
Exu;31711;9762;5593;406;450;408;54
Fagundes;11112;2970;2222;8;10;4;5
Fagundes Varela;0;0;0;0;0;0;0
Faina;6294;3109;2176;286;364;364;10
Fama;2343;765;525;110;144;186;5
Faria Lemos;3107;1223;811;79;86;153;2
Farias Brito;19845;5429;4415;44;67;78;17
Faro;6976;161;50;11;18;7;3
Farol;2817;2153;1292;32;40;56;0
